Domain Code,Domain,Area Code (M49),Area,Indicator Code,Indicator,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01341","Apples","2010","2010","","0.97","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01341","Apples","2010","2010","","0.03","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01341","Apples","2011","2011","","0.95","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01341","Apples","2011","2011","","0.05","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01341","Apples","2012","2012","","0.95","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01341","Apples","2012","2012","","0.05","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01341","Apples","2013","2013","","0.96","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01341","Apples","2013","2013","","0.04","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2010","2010","","0.12","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2010","2010","","0.88","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2011","2011","","0.06","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2011","2011","","0.94","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2012","2012","","0.18","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2012","2012","","0.82","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2013","2013","","0.24","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2013","2013","","0.76","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2014","2014","","0.17","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2014","2014","","0.83","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2015","2015","","0.02","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2015","2015","","0.98","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2016","2016","","0.02","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2016","2016","","0.98","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2017","2017","","0.32","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2017","2017","","0.68","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2018","2018","","-0.04","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2018","2018","","1.04","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2019","2019","","-0.04","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2019","2019","","1.04","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2020","2020","","-0.03","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2020","2020","","1.03","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2021","2021","","-0.04","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2021","2021","","1.04","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2022","2022","","-0.06","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2022","2022","","1.06","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2023","2023","","-0.04","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2023","2023","","1.04","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01510","Potatoes","2010","2010","","0.02","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01510","Potatoes","2010","2010","","0.98","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01510","Potatoes","2011","2011","","0.02","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01510","Potatoes","2011","2011","","0.98","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01510","Potatoes","2012","2012","","0.06","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01510","Potatoes","2012","2012","","0.94","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01510","Potatoes","2013","2013","","-0.01","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01510","Potatoes","2013","2013","","1.01","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01510","Potatoes","2017","2017","","-0.09","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01510","Potatoes","2017","2017","","1.09","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01510","Potatoes","2018","2018","","0.02","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01510","Potatoes","2018","2018","","0.98","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01510","Potatoes","2019","2019","","0.04","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01510","Potatoes","2019","2019","","0.96","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01510","Potatoes","2020","2020","","0","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01510","Potatoes","2020","2020","","1","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01510","Potatoes","2021","2021","","0","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01510","Potatoes","2021","2021","","1","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","02211","Raw milk of cattle","2010","2010","","0.03","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","02211","Raw milk of cattle","2010","2010","","0.97","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","02211","Raw milk of cattle","2011","2011","","0.05","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","02211","Raw milk of cattle","2011","2011","","0.95","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","02211","Raw milk of cattle","2012","2012","","0.12","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","02211","Raw milk of cattle","2012","2012","","0.88","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","02211","Raw milk of cattle","2013","2013","","0.17","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","02211","Raw milk of cattle","2013","2013","","0.83","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","02211","Raw milk of cattle","2014","2014","","0.03","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","02211","Raw milk of cattle","2014","2014","","0.97","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","02211","Raw milk of cattle","2015","2015","","0.05","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","02211","Raw milk of cattle","2015","2015","","0.95","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","02211","Raw milk of cattle","2016","2016","","0.09","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","02211","Raw milk of cattle","2016","2016","","0.91","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","02211","Raw milk of cattle","2017","2017","","0.08","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","02211","Raw milk of cattle","2017","2017","","0.92","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","02211","Raw milk of cattle","2018","2018","","0.02","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","02211","Raw milk of cattle","2018","2018","","0.98","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","02211","Raw milk of cattle","2019","2019","","0.13","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","02211","Raw milk of cattle","2019","2019","","0.87","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","02211","Raw milk of cattle","2020","2020","","0.01","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","02211","Raw milk of cattle","2020","2020","","0.99","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","02211","Raw milk of cattle","2021","2021","","0.01","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","02211","Raw milk of cattle","2021","2021","","0.99","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","02211","Raw milk of cattle","2022","2022","","0","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","02211","Raw milk of cattle","2022","2022","","1","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","02211","Raw milk of cattle","2023","2023","","0.01","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","02211","Raw milk of cattle","2023","2023","","0.99","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01444","Sesame seed","2010","2010","","0.54","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01444","Sesame seed","2010","2010","","0.46","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01444","Sesame seed","2011","2011","","0.45","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01444","Sesame seed","2011","2011","","0.55","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01444","Sesame seed","2012","2012","","0.21","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01444","Sesame seed","2012","2012","","0.79","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01444","Sesame seed","2013","2013","","0.59","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01444","Sesame seed","2013","2013","","0.41","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01444","Sesame seed","2014","2014","","0.97","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01444","Sesame seed","2014","2014","","0.03","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01444","Sesame seed","2015","2015","","0.96","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01444","Sesame seed","2015","2015","","0.04","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01444","Sesame seed","2016","2016","","0.95","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01444","Sesame seed","2016","2016","","0.05","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01444","Sesame seed","2017","2017","","0.94","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01444","Sesame seed","2017","2017","","0.06","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01444","Sesame seed","2018","2018","","0.99","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01444","Sesame seed","2018","2018","","0.01","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01444","Sesame seed","2019","2019","","0.97","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01444","Sesame seed","2019","2019","","0.03","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01445","Sunflower seed","2010","2010","","1","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01445","Sunflower seed","2010","2010","","0","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01445","Sunflower seed","2011","2011","","0.99","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01445","Sunflower seed","2011","2011","","0.01","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01445","Sunflower seed","2012","2012","","0.99","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01445","Sunflower seed","2012","2012","","0.01","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01445","Sunflower seed","2013","2013","","0.99","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01445","Sunflower seed","2013","2013","","0.01","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01445","Sunflower seed","2017","2017","","0","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01445","Sunflower seed","2017","2017","","1","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01445","Sunflower seed","2018","2018","","0","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01445","Sunflower seed","2018","2018","","1","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01234","Tomatoes","2010","2010","","0","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01234","Tomatoes","2010","2010","","1","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01234","Tomatoes","2011","2011","","0","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01234","Tomatoes","2011","2011","","1","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01234","Tomatoes","2012","2012","","0","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01234","Tomatoes","2012","2012","","1","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01234","Tomatoes","2013","2013","","0","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01234","Tomatoes","2013","2013","","1","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","0111","Wheat","2010","2010","","0.88","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","0111","Wheat","2010","2010","","0.12","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","0111","Wheat","2011","2011","","0.85","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","0111","Wheat","2011","2011","","0.15","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","0111","Wheat","2012","2012","","0.89","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","0111","Wheat","2012","2012","","0.11","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","0111","Wheat","2013","2013","","0.83","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","0111","Wheat","2013","2013","","0.17","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","0111","Wheat","2014","2014","","0.83","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","0111","Wheat","2014","2014","","0.17","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","0111","Wheat","2022","2022","","0.75","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","0111","Wheat","2022","2022","","0.25","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","503","Share of agricultural exports to GDP","F1882","Crops and livestock products","2010","2010","%","0.74","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","503","Share of agricultural exports to GDP","F1882","Crops and livestock products","2011","2011","%","0.84","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","503","Share of agricultural exports to GDP","F1882","Crops and livestock products","2012","2012","%","0.88","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","503","Share of agricultural exports to GDP","F1882","Crops and livestock products","2013","2013","%","0.66","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","503","Share of agricultural exports to GDP","F1882","Crops and livestock products","2014","2014","%","0.72","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","503","Share of agricultural exports to GDP","F1882","Crops and livestock products","2015","2015","%","0.77","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","503","Share of agricultural exports to GDP","F1882","Crops and livestock products","2016","2016","%","0.78","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","503","Share of agricultural exports to GDP","F1882","Crops and livestock products","2017","2017","%","0.88","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","503","Share of agricultural exports to GDP","F1882","Crops and livestock products","2018","2018","%","0.87","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","503","Share of agricultural exports to GDP","F1882","Crops and livestock products","2019","2019","%","0.55","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","503","Share of agricultural exports to GDP","F1882","Crops and livestock products","2020","2020","%","0.63","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","503","Share of agricultural exports to GDP","F1882","Crops and livestock products","2021","2021","%","0.7","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","503","Share of agricultural exports to GDP","F1882","Crops and livestock products","2022","2022","%","0.66","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","503","Share of agricultural exports to GDP","F1882","Crops and livestock products","2023","2023","%","0.79","E","Estimated value",""
